   GND1	 GND2	N01  N02   N03	  N04	N05   R1    R2     U1	V1    V2    W1C	W1SW


     0     0     1     1     0     0     0     0     0     0     1     1     0     0


     0     0     1     1     0     0     0     0     0     1     1     1     0     0


     0     0     1     1     1     0     0     0     0     1     1     1     0     0


     0     0     1     1     1     0     0     0     0     1     1     1     1     0


     0     0     1     1     1     1     0     0     0     1     1     1     1     1


     0     0     1     1     1     1     1     1     0     1     1     1     1     1


     1     0     1     1     1     1     1     1     1     1     1     1     1     1


     1     1     1     1     1     1     1     1     1     1     1     1     1     1


     1     1     1     1     1     1     1     1     1     1     1     1     1     1
 
